ID,Data Point,Column Name,Category,Sub Category,SF3 Variable
118,"Asia, South Eastern Asia",fb_as_southeastern,Population,Diversity,PCT019048
119,"Asia, South Eastern Asia,Cambodia",fb_as_se_cambodia,Population,Diversity,PCT019049
120,"Asia, South Eastern Asia,Indonesia",fb_as_se_indonesia,Population,Diversity,PCT019050
121,"Asia, South Eastern Asia,Laos",fb_as_se_laos,Population,Diversity,PCT019051
122,"Asia, South Eastern Asia,Malaysia",fb_as_se_malaysia,Population,Diversity,PCT019052
123,"Asia, South Eastern Asia,Philippines",fb_as_se_philippines,Population,Diversity,PCT019053
124,"Asia, South Eastern Asia,Thailand",fb_as_se_thailand,Population,Diversity,PCT019054
125,"Asia, South Eastern Asia,Vietnam",fb_as_se_vietnam,Population,Diversity,PCT019055
126,"Asia, South Eastern Asia,Other",fb_as_se_other,Population,Diversity,PCT019056
127,"Asia, Western Asia",fb_as_western,Population,Diversity,PCT019057
128,"Asia, Western Asia,Armenia",fb_as_w_armenia,Population,Diversity,PCT019064
129,"Asia, Western Asia,Iraq",fb_as_w_iraq,Population,Diversity,PCT019058
130,"Asia, Western Asia,Israel",fb_as_w_israel,Population,Diversity,PCT019059
131,"Asia, Western Asia,Jordan",fb_as_w_jordan,Population,Diversity,PCT019060
132,"Asia, Western Asia,Lebanon",fb_as_w_lebanon,Population,Diversity,PCT019061
133,"Asia, Western Asia,Syria",fb_as_w_syria,Population,Diversity,PCT019062
134,"Asia, Western Asia,Turkey",fb_as_w_turkey,Population,Diversity,PCT019063
135,"Asia, Western Asia,Other",fb_as_w_other,Population,Diversity,PCT019065
136,"Asia, n.e.c.",fb_as_nec,Population,Diversity,PCT019066
137,Africa,fb_africa,Population,Diversity,PCT019067
138,"Africa, Eastern Africa",fb_af_eastern,Population,Diversity,PCT019068
139,"Africa, Eastern Africa,Ethiopia",fb_af_e_ethiopia,Population,Diversity,PCT019069
140,"Africa, Eastern Africa,Other",fb_af_e_other,Population,Diversity,PCT019070
141,"Africa, Middle Africa",fb_af_middle,Population,Diversity,PCT019071
142,"Africa, Northern Africa",fb_af_northern,Population,Diversity,PCT019072
143,"Africa, Northern Africa,Egypt",fb_af_n_egypt,Population,Diversity,PCT019073
144,"Africa, Northern Africa,Other",fb_af_n_other,Population,Diversity,PCT019074
145,"Africa, Southern Africa",fb_af_southern,Population,Diversity,PCT019075
146,"Africa, Southern Africa, South Africa",fb_af_s_southafrica,Population,Diversity,PCT019076
147,"Africa, Southern Africa, Other",fb_af_s_other,Population,Diversity,PCT019077
148,"Africa, Western Africa",fb_af_western,Population,Diversity,PCT019078
149,"Africa, Western Africa,Ghana",fb_af_w_ghana,Population,Diversity,PCT019079
150,"Africa, Western Africa,Nigeria",fb_af_w_nigeria,Population,Diversity,PCT019080
151,"Africa, Western Africa,Sierra Leone",fb_af_w_sierraleone,Population,Diversity,PCT019081
152,"Africa, Western Africa,Other",fb_af_w_other,Population,Diversity,PCT019082
153,"Africa, n.e.c.",fb_af_nec,Population,Diversity,PCT019083
154,Oceania,fb_oceania,Population,Diversity,PCT019084
155,"Oceania, Australia and New Zealand Subregion",fb_oc_australianewzealandsubregion,Population,Diversity,PCT019085
156,"Oceania, Australia and New Zealand Subregion, Australia",fb_oc_australianewzealandsubregion_australia,Population,Diversity,PCT019086
157,"Oceania, Australia and New Zealand Subregion, Other",fb_oc_australianewzealandsubregion_other,Population,Diversity,PCT019087
158,"Oceania, Micronesia",fb_oc_micronesia,Population,Diversity,PCT019089
159,"Oceania, n.e.c.",fb_oc_nec,Population,Diversity,PCT019091
160,Americas,fb_americas,Population,Diversity,PCT019092
161,"Americas, Latin America",fb_am_latinamerica,Population,Diversity,PCT019093
162,"Americas, Latin America, Caribbean",fb_am_la_caribbean,Population,Diversity,PCT019094
163,"Americas, Latin America, Caribbean, Barbados",fb_am_la_cbb_barbados,Population,Diversity,PCT019095
164,"Americas, Latin America, Caribbean, Cuba",fb_am_la_cbb_cuba,Population,Diversity,PCT019096
165,"Americas, Latin America, Caribbean, Dominican Republic",fb_am_la_cbb_dominicanrepublic,Population,Diversity,PCT019097
166,"Americas, Latin America, Caribbean, Haiti",fb_am_la_cbb_haiti,Population,Diversity,PCT019098
167,"Americas, Latin America, Caribbean, Jamaica",fb_am_la_cbb_jamaica,Population,Diversity,PCT019099
168,"Americas, Latin America, Caribbean, Trinidad and Tobago",fb_am_la_cbb_trinidadandtobago,Population,Diversity,PCT019100
169,"Americas, Latin America, Caribbean, Other",fb_am_la_cbb_other,Population,Diversity,PCT019101
170,"Americas, Latin America, Central America",fb_am_la_centralamerica,Population,Diversity,PCT019102
171,"Americas, Latin America, Central America,Costa Rica",fb_am_la_centr_costarica,Population,Diversity,PCT019105
172,"Americas, Latin America, Central America,El Salvador",fb_am_la_centr_elsalvador,Population,Diversity,PCT019106
173,"Americas, Latin America, Central America,Guatemala",fb_am_la_centr_guatemala,Population,Diversity,PCT019107
174,"Americas, Latin America, Central America,Honduras",fb_am_la_centr_honduras,Population,Diversity,PCT019108
175,"Americas, Latin America, Central America,Mexico",fb_am_la_centr_mexico,Population,Diversity,PCT019103
176,"Americas, Latin America, Central America,Nicaragua",fb_am_la_centr_nicaragua,Population,Diversity,PCT019109
177,"Americas, Latin America, Central America,Panama",fb_am_la_centr_panama,Population,Diversity,PCT019110
178,"Americas, Latin America, Central America,Other",fb_am_la_centr_other,Population,Diversity,PCT019111
179,"Americas, Latin America, South America",fb_am_la_southamerica,Population,Diversity,PCT019112
180,"Americas, Latin America, South America, Argentina",fb_am_la_s_argentina,Population,Diversity,PCT019113
181,"Americas, Latin America, South America,Bolivia",fb_am_la_s_bolivia,Population,Diversity,PCT019114
182,"Americas, Latin America, South America,Brazil",fb_am_la_s_brazil,Population,Diversity,PCT019115
183,"Americas, Latin America, South America,Chile",fb_am_la_s_chile,Population,Diversity,PCT019116
184,"Americas, Latin America, South America,Columbia",fb_am_la_s_columbia,Population,Diversity,PCT019117
185,"Americas, Latin America, South America,Ecuador",fb_am_la_s_ecuador,Population,Diversity,PCT019118
186,"Americas, Latin America, South America,Guyana",fb_am_la_s_guyana,Population,Diversity,PCT019119
187,"Americas, Latin America, South America,Peru",fb_am_la_s_peru,Population,Diversity,PCT019120
188,"Americas, Latin America, South America,Venezuela",fb_am_la_s_venezuela,Population,Diversity,PCT019121
189,"Americas, Latin America, South America,Other",fb_am_la_s_other,Population,Diversity,PCT019122
190,"Americas, Northern America",fb_am_northern,Population,Diversity,PCT019123
191,"Americas, Northern America, Canada",fb_am_n_canada,Population,Diversity,PCT019124
192,"Americas, Northern America, Other",fb_am_n_other,Population,Diversity,PCT019125
193,Total Educational Attainment by Sex for the Population 25+ Series,attainment_totalbysex_over25_series,Population,Educational Attainment,P037001
194,Ed:Male,attainment_m,Population,Educational Attainment,P037002
195,Ed:Male No Schooling,attainment_m_noschooling,Population,Educational Attainment,P037003
