ID,Data Point,Column Name,Category,Sub Category,SF3 Variable
510,"Language Spoken at Home Speaks Other Language: Speaks English ""Well"" 5 to 17",language_speakother_speakenglishwell_5to17,Population,Language,P019021
511,"Language Spoken at Home Speaks Other Language: Speaks English ""Not Well"" 5 to 17",language_speakother_speakenglishnotwell_5to17,Population,Language,P019022
512,"Language Spoken at Home Speaks Other Language: Speaks English ""Not at All"" 5 to 17",language_speakother_speakenglishnotatall_5to17,Population,Language,P019023
513,Language Spoken at Home by Ability to Speak English Total 18 to 64,language_total_18to64,Population,Language,P019024
514,Language Spoken at Home Speaks Only English 18 to 64,language_speakonlyenglish_18to64,Population,Language,P019025
515,Language Spoken at Home Speaks Spanish 18 to 64,language_speakspanish_18to64,Population,Language,P019026
516,"Language Spoken at Home Speaks Spanish: Speaks English ""Very Well"" 18 to 64",language_speakspanish_speakenglishverywell_18to64,Population,Language,P019027
517,"Language Spoken at Home Speaks Spanish: Speaks English ""Well"" 18 to 64",language_speakspanish_speakenglishwell_18to64,Population,Language,P019028
518,"Language Spoken at Home Speaks Spanish: Speaks English ""Not Well"" 18 to 64",language_speakspanish_speakenglishnotwell_18to64,Population,Language,P019029
519,"Language Spoken at Home Speaks Spanish: Speaks English ""Not at All"" 18 to 64",language_speakspanish_speakenglishnotatall_18to64,Population,Language,P019030
520,Language Spoken at Home Speaks Other Indo-European Language 18 to 64,language_speakotherindoeuro_18to64,Population,Language,P019031
521,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Very Well"" 18 to 64",language_speakotherindoeuro_speakenglishverywell_18to64,Population,Language,P019032
522,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Well"" 18 to 64",language_speakotherindoeuro_speakenglishwell_18to64,Population,Language,P019033
523,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not Well"" 18 to 64",language_speakotherindoeuro_speakenglishnotwell_18to64,Population,Language,P019034
524,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not at All"" 18 to 64",language_speakotherindoeuro_speakenglishnotatall_18to64,Population,Language,P019035
525,Language Spoken at Home Speaks Asian or Pacific Island 18 to 64,language_speakasianpacificisland_18to64,Population,Language,P019036
526,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Very Well"" 18 to 64",language_speakasianpacificisland_speakenglishverywell_18to64,Population,Language,P019037
527,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Well"" 18 to 64",language_speakasianpacificisland_speakenglishwell_18to64,Population,Language,P019038
528,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not Well"" 18 to 64",language_speakasianpacificisland_speakenglishnotwell_18to64,Population,Language,P019039
529,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not at All"" 18 to 64",language_speakasianpacificisland_speakenglishnotatall_18to64,Population,Language,P019040
530,Language Spoken at Home Speaks Other Language 18 to 64,language_speakother_18to64,Population,Language,P019041
531,"Language Spoken at Home Speaks Other Language: Speaks English ""Very Well"" 18 to 64",language_speakother_speakenglishverywell_18to64,Population,Language,P019042
532,"Language Spoken at Home Speaks Other Language: Speaks English ""Well"" 18 to 64",language_speakother_speakenglishwell_18to64,Population,Language,P019043
533,"Language Spoken at Home Speaks Other Language: Speaks English ""Not Well"" 18 to 64",language_speakother_speakenglishnotwell_18to64,Population,Language,P019044
534,"Language Spoken at Home Speaks Other Language: Speaks English ""Not at All"" 18 to 64",language_speakother_speakenglishnotatall_18to64,Population,Language,P019045
535,Language Spoken at Home by Ability to Speak English Total 65+,language_total_65+,Population,Language,P019046
536,Language Spoken at Home Speaks Only English 65+,language_speakonlyenglish_65+,Population,Language,P019047
537,Language Spoken at Home Speaks Spanish 65+,language_speakspanish_65+,Population,Language,P019048
538,"Language Spoken at Home Speaks Spanish: Speaks English ""Very Well"" 65+",language_speakspanish_speakenglishverywell_65+,Population,Language,P019049
539,"Language Spoken at Home Speaks Spanish: Speaks English ""Well"" 65+",language_speakspanish_speakenglishwell_65+,Population,Language,P019050
540,"Language Spoken at Home Speaks Spanish: Speaks English ""Not Well"" 65+",language_speakspanish_speakenglishnotwell_65+,Population,Language,P019051
541,"Language Spoken at Home Speaks Spanish: Speaks English ""Not at All"" 65+",language_speakspanish_speakenglishnotatall_65+,Population,Language,P019052
542,Language Spoken at Home Speaks Other Indo-European Language 65+,language_speakotherindoeuro_65+,Population,Language,P019053
543,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Very Well"" 65+",language_speakotherindoeuro_speakenglishverywell_65+,Population,Language,P019054
544,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Well"" 65+",language_speakotherindoeuro_speakenglishwell_65+,Population,Language,P019055
545,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not Well"" 65+",language_speakotherindoeuro_speakenglishnotwell_65+,Population,Language,P019056
546,"Language Spoken at Home Speaks Other Indo-European Language: Speaks English ""Not at All"" 65+",language_speakotherindoeuro_speakenglishnotatall_65+,Population,Language,P019057
547,Language Spoken at Home Speaks Asian or Pacific Island 65+,language_speakasianpacificisland_65+,Population,Language,P019058
548,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Very Well"" 65+",language_speakasianpacificisland_speakenglishverywell_65+,Population,Language,P019059
549,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Well"" 65+",language_speakasianpacificisland_speakenglishwell_65+,Population,Language,P019060
550,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not Well"" 65+",language_speakasianpacificisland_speakenglishnotwell_65+,Population,Language,P019061
551,"Language Spoken at Home Speaks Asian or Pacific Island: Speaks English ""Not at All"" 65+",language_speakasianpacificisland_speakenglishnotatall_65+,Population,Language,P019062
552,Language Spoken at Home Speaks Other Language 65+,language_speakother_65+,Population,Language,P019063
553,"Language Spoken at Home Speaks Other Language: Speaks English ""Very Well"" 65+",language_speakother_speakenglishverywell_65+,Population,Language,P019064
554,"Language Spoken at Home Speaks Other Language: Speaks English ""Well"" 65+",language_speakother_speakenglishwell_65+,Population,Language,P019065
555,"Language Spoken at Home Speaks Other Language: Speaks English ""Not Well"" 65+",language_speakother_speakenglishnotwell_65+,Population,Language,P019066
556,"Language Spoken at Home Speaks Other Language: Speaks English ""Not at All"" 65+",language_speakother_speakenglishnotatall_65+,Population,Language,P019067
557,Disability: Total Disabilities Tallied for the Civilian Noninstitutionalized Population 5 Years and Over with Disabilities,disability_totaldisabilities,Population,Disability,P041001
558,Household Income Total Series,hhincome_total_series,Households,Household Income,P052001
559,"Household Income Less than $10,000",hhincome_lessthan10000,Households,Household Income,P052002
560,"Household Income 10,000 to 14,999",hhincome_10to14999,Households,Household Income,P052003
561,"Household Income 15,000 to 19,999",hhincome_15to19999,Households,Household Income,P052004
562,"Household Income 20,000 to 24,999",hhincome_20to24999,Households,Household Income,P052005
563,"Household Income 25,000 to 29,999",hhincome_25to29999,Households,Household Income,P052006
564,"Household Income 30,000 to 34,999",hhincome_30to34999,Households,Household Income,P052007
565,"Household Income 35,000 to 39,999",hhincome_35to39999,Households,Household Income,P052008
566,"Household Income 40,000 to 44,999",hhincome_40to44999,Households,Household Income,P052009
567,"Household Income 45,000 to 49,999",hhincome_45to49999,Households,Household Income,P052010
568,"Household Income 50,000 to 59,999",hhincome_50to59999,Households,Household Income,P052011
569,"Household Income 60,000 to 74,999",hhincome_60to74999,Households,Household Income,P052012
570,"Household Income 75,000 to 99,999",hhincome_75to99999,Households,Household Income,P052013
571,"Household Income 100,000 to 124,999",hhincome_100to124999,Households,Household Income,P052014
572,"Household Income 125,000 to 149,999",hhincome125to149999,Households,Household Income,P052015
573,"Household Income 150,000 to 199,999",hhincome150to199999,Households,Household Income,P052016
574,"Household Income 200,000 or More",hhincome200ormore,Households,Household Income,P052017
575,Total Geographic Mobility in the Past 5 Years Series,geo_movedbetween1995and2000_total_series,Geographic Mobility,Moved,P024001
576,Geographic Mobility in the Past 5 Years Didn't Move,geo_1995to2000_didntmove,Geographic Mobility,Moved,P024002
577,Geographic Mobility in the Past 5 Years Moved,geo_1995to2000_moved,Geographic Mobility,Moved,P024003
578,Geographic Mobility in the Past 5 Years Moved from Same County,geo_1995to2000_movedsamecounty,Geographic Mobility,Moved,P024005
579,Geographic Mobility in the Past 5 Years Moved from Different County Same State,geo_1995to2000_moveddifferentcountysamestate,Geographic Mobility,Moved,P024007
580,Geographic Mobility in the Past 5 Years Moved from Different State,geo_1995to2000_moveddifferentstate,Geographic Mobility,Moved,P024008
581,Geographic Mobility in the Past 5 Years Moved from Abroad,geo_1995to2000_movedfromabroad,Geographic Mobility,Moved,P024018
582,Foreign Born: Foreign Born Citizenship Status Total Series,fb_foreignborn_citizenship_total_series,Population,Foreign Born Population,P021013
583,"Foreign Born: Foreign Born, Naturalized Citizen",fb_foreignborn_naturalizeduscitizen,Population,Foreign Born Population,P021014
584,"Foreign Born: Foreign Born, Not a Citizen",fb_foregnborn_notauscitizen,Population,Foreign Born Population,P021015
585,Total Population,population,Population,Total,P001001
