ID,Data Point,Column Name,Category,Sub Category,ACS Variable
136,Male 45 to 54 Without Private Health Insurance,healthcoverage_m45to54_woprivate,Population,Healthcare,B27002_020E
137,Male 55 to 64 Private Healthcare Coverage,healthcoverage_m55to64_privateall,Population,Healthcare,B27002_021E
138,Male 55 to 64 With Private Health Insurance,healthcoverage_m55to64_wprivate,Population,Healthcare,B27002_022E
139,Male 55 to 64 Without Private Health Insurance,healthcoverage_m55to64_woprivate,Population,Healthcare,B27002_023E
140,Male 65 to 74 Private Healthcare Coverage,healthcoverage_m65to74_privateall,Population,Healthcare,B27002_024E
141,Male 65 to 74 With Private Health Insurance,healthcoverage_m65to74_wprivate,Population,Healthcare,B27002_025E
142,Male 65 to 74 Without Private Health Insurance,healthcoverage_m65to74_woprivate,Population,Healthcare,B27002_026E
143,Male 75 and Over Private Healthcare Coverage,healthcoverage_m75+_privateall,Population,Healthcare,B27002_027E
144,Male 75 and Over With Private Health Insurance,healthcoverage_m75+_wprivate,Population,Healthcare,B27002_028E
145,Male 75 and Over Without Private Health Insurance,healthcoverage_m75+_woprivate,Population,Healthcare,B27002_029E
146,Total Female Private Health Insurance Coverage,healthcoverage_total_fprivate,Population,Healthcare,B27002_030E
147,Female Under 6 Private Healthcare Coverage,healthcoverage_fu6_privateall,Population,Healthcare,B27002_031E
148,Female Under 6 With Private Health Insurance,healthcoverage_fu6_wprivate,Population,Healthcare,B27002_032E
149,Female Under 6 Without Private Health Insurance,healthcoverage_fu6_woprivate,Population,Healthcare,B27002_033E
150,Female 6 to 18  Private Healthcare Coverage,healthcoverage_f6to18_privateall,Population,Healthcare,B27002_034E
151,Female 6 to 18 With Private Health Insurance,healthcoverage_f6to18_wprivate,Population,Healthcare,B27002_035E
152,Female 6 to 18 Without Private Health Insurance,healthcoverage_f6to18_woprivate,Population,Healthcare,B27002_036E
153,Female 19 to 25 Private Healthcare Coverage,healthcoverage_f19to25_privateall,Population,Healthcare,B27002_037E
154,Female 19 to 25 With Private Health Insurance,healthcoverage_f19to25_wprivate,Population,Healthcare,B27002_038E
155,Female 19 to 25 Without Private Health Insurance,healthcoverage_f19to25_woprivate,Population,Healthcare,B27002_039E
156,Female 26 to 34 Private Healthcare Coverage,healthcoverage_f26to34_privateall,Population,Healthcare,B27002_040E
157,Female 26 to 34 With Private Health Insurance,healthcoverage_f26to34_wprivate,Population,Healthcare,B27002_041E
158,Female 26 to 34 Without Private Health Insurance,healthcoverage_f26to34_woprivate,Population,Healthcare,B27002_042E
159,Female 35 to 44 Private Healthcare Coverage,healthcoverage_f35to44_privateall,Population,Healthcare,B27002_043E
160,Female 35 to 44 With Private Health Insurance,healthcoverage_f35to44_wprivate,Population,Healthcare,B27002_044E
161,Female 35 to 44 Without Private Health Insurance,healthcoverage_f35to44_woprivate,Population,Healthcare,B27002_045E
162,Female 45 to 54 Private Healthcare Coverage,healthcoverage_f45to54_privateall,Population,Healthcare,B27002_046E
163,Female 45 to 54 With Private Health Insurance,healthcoverage_f45to54_wprivate,Population,Healthcare,B27002_047E
164,Female 45 to 54 Without Private Health Insurance,healthcoverage_f45to54_woprivate,Population,Healthcare,B27002_048E
165,Female 55 to 64 Private Healthcare Coverage,healthcoverage_f55to64_privateall,Population,Healthcare,B27002_049E
166,Female 55 to 64 With Private Health Insurance,healthcoverage_f55to64_wprivate,Population,Healthcare,B27002_050E
167,Female 55 to 64 Without Private Health Insurance,healthcoverage_f55to64_woprivate,Population,Healthcare,B27002_051E
168,Female 65 to 74 Private Healthcare Coverage,healthcoverage_f65to74_privateall,Population,Healthcare,B27002_052E
169,Female 65 to 74 With Private Health Insurance,healthcoverage_f65to74_wprivate,Population,Healthcare,B27002_053E
170,Female 65 to 74 Without Private Health Insurance,healthcoverage_f65to74_woprivate,Population,Healthcare,B27002_054E
171,Female 75 and Over Private Healthcare Coverage,healthcoverage_f75+_privateall,Population,Healthcare,B27002_055E
172,Female 75 and Over With Private Health Insurance,healthcoverage_f75+_wprivate,Population,Healthcare,B27002_056E
173,Female 75 and Over Without Private Health Insurance,healthcoverage_f75+_woprivate,Population,Healthcare,B27002_057E
174,Total for Public Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_publichealthcare_series,Population,Healthcare,B27003_001E
175,Total Male Public Health Insurance Coverage,healthcoverage_total_mpublic,Population,Healthcare,B27003_002E
176,Male Under 6 Public Healthcare Coverage,healthcoverage_mu6_publicall,Population,Healthcare,B27003_003E
177,Male Under 6 With Public Health Insurance,healthcoverage_mu6_wpublic,Population,Healthcare,B27003_004E
178,Male Under 6 Without Public Health Insurance,healthcoverage_mu6_wopublic,Population,Healthcare,B27003_005E
179,Male 6 to 18  Public Healthcare Coverage,healthcoverage_m6to18_publicall,Population,Healthcare,B27003_006E
180,Male 6 to 18 With Public Health Insurance,healthcoverage_m6to18_wpublic,Population,Healthcare,B27003_007E
181,Male 6 to 18 Without Public Health Insurance,healthcoverage_m6to18_wopublic,Population,Healthcare,B27003_008E
182,Male 19 to 25 Public Healthcare Coverage,healthcoverage_m19to25_publicall,Population,Healthcare,B27003_009E
183,Male 19 to 25 With Public Health Insurance,healthcoverage_m19to25_wpublic,Population,Healthcare,B27003_010E
184,Male 19 to 25 Without Public Health Insurance,healthcoverage_m19to25_wopublic,Population,Healthcare,B27003_011E
185,Male 26 to 34 Public Healthcare Coverage,healthcoverage_m26to34_publicall,Population,Healthcare,B27003_012E
186,Male 26 to 34 With Public Health Insurance,healthcoverage_m26to34_wpublic,Population,Healthcare,B27003_013E
