ID,Data Point,Column Name,Category,Sub Category,ACS Variable,ACS Table
157,Female 26 to 34 With Private Health Insurance,healthcoverage_f26to34_wprivate,Population,Healthcare,B27002_041E,B27002
158,Female 26 to 34 Without Private Health Insurance,healthcoverage_f26to34_woprivate,Population,Healthcare,B27002_042E,B27002
159,Female 35 to 44 Private Healthcare Coverage,healthcoverage_f35to44_privateall,Population,Healthcare,B27002_043E,B27002
160,Female 35 to 44 With Private Health Insurance,healthcoverage_f35to44_wprivate,Population,Healthcare,B27002_044E,B27002
161,Female 35 to 44 Without Private Health Insurance,healthcoverage_f35to44_woprivate,Population,Healthcare,B27002_045E,B27002
162,Female 45 to 54 Private Healthcare Coverage,healthcoverage_f45to54_privateall,Population,Healthcare,B27002_046E,B27002
163,Female 45 to 54 With Private Health Insurance,healthcoverage_f45to54_wprivate,Population,Healthcare,B27002_047E,B27002
164,Female 45 to 54 Without Private Health Insurance,healthcoverage_f45to54_woprivate,Population,Healthcare,B27002_048E,B27002
165,Female 55 to 64 Private Healthcare Coverage,healthcoverage_f55to64_privateall,Population,Healthcare,B27002_049E,B27002
166,Female 55 to 64 With Private Health Insurance,healthcoverage_f55to64_wprivate,Population,Healthcare,B27002_050E,B27002
167,Female 55 to 64 Without Private Health Insurance,healthcoverage_f55to64_woprivate,Population,Healthcare,B27002_051E,B27002
168,Female 65 to 74 Private Healthcare Coverage,healthcoverage_f65to74_privateall,Population,Healthcare,B27002_052E,B27002
169,Female 65 to 74 With Private Health Insurance,healthcoverage_f65to74_wprivate,Population,Healthcare,B27002_053E,B27002
170,Female 65 to 74 Without Private Health Insurance,healthcoverage_f65to74_woprivate,Population,Healthcare,B27002_054E,B27002
171,Female 75 and Over Private Healthcare Coverage,healthcoverage_f75+_privateall,Population,Healthcare,B27002_055E,B27002
172,Female 75 and Over With Private Health Insurance,healthcoverage_f75+_wprivate,Population,Healthcare,B27002_056E,B27002
173,Female 75 and Over Without Private Health Insurance,healthcoverage_f75+_woprivate,Population,Healthcare,B27002_057E,B27002
174,Total for Public Healthcare Insurance Coverage Status by Sex by Age,healthcoverage_total_publichealthcare_series,Population,Healthcare,B27003_001E,B27003
175,Total Male Public Health Insurance Coverage,healthcoverage_total_mpublic,Population,Healthcare,B27003_002E,B27003
176,Male Under 6 Public Healthcare Coverage,healthcoverage_mu6_publicall,Population,Healthcare,B27003_003E,B27003
177,Male Under 6 With Public Health Insurance,healthcoverage_mu6_wpublic,Population,Healthcare,B27003_004E,B27003
178,Male Under 6 Without Public Health Insurance,healthcoverage_mu6_wopublic,Population,Healthcare,B27003_005E,B27003
179,Male 6 to 18  Public Healthcare Coverage,healthcoverage_m6to18_publicall,Population,Healthcare,B27003_006E,B27003
180,Male 6 to 18 With Public Health Insurance,healthcoverage_m6to18_wpublic,Population,Healthcare,B27003_007E,B27003
181,Male 6 to 18 Without Public Health Insurance,healthcoverage_m6to18_wopublic,Population,Healthcare,B27003_008E,B27003
182,Male 19 to 25 Public Healthcare Coverage,healthcoverage_m19to25_publicall,Population,Healthcare,B27003_009E,B27003
183,Male 19 to 25 With Public Health Insurance,healthcoverage_m19to25_wpublic,Population,Healthcare,B27003_010E,B27003
184,Male 19 to 25 Without Public Health Insurance,healthcoverage_m19to25_wopublic,Population,Healthcare,B27003_011E,B27003
185,Male 26 to 34 Public Healthcare Coverage,healthcoverage_m26to34_publicall,Population,Healthcare,B27003_012E,B27003
186,Male 26 to 34 With Public Health Insurance,healthcoverage_m26to34_wpublic,Population,Healthcare,B27003_013E,B27003
187,Male 26 to 34 Without Public Health Insurance,healthcoverage_m26to34_wopublic,Population,Healthcare,B27003_014E,B27003
188,Male 35 to 44 Public Healthcare Coverage,healthcoverage_m35to44_publicall,Population,Healthcare,B27003_015E,B27003
189,Male 35 to 44 With Public Health Insurance,healthcoverage_m35to44_wpublic,Population,Healthcare,B27003_016E,B27003
190,Male 35 to 44 Without Public Health Insurance,healthcoverage_m35to44_wopublic,Population,Healthcare,B27003_017E,B27003
191,Male 45 to 54 Public Healthcare Coverage,healthcoverage_m45to54_publicall,Population,Healthcare,B27003_018E,B27003
192,Male 45 to 54 With Public Health Insurance,healthcoverage_m45to54_wpublic,Population,Healthcare,B27003_019E,B27003
193,Male 45 to 54 Without Public Health Insurance,healthcoverage_m45to54_wopublic,Population,Healthcare,B27003_020E,B27003
194,Male 55 to 64 Public Healthcare Coverage,healthcoverage_m55to64_publicall,Population,Healthcare,B27003_021E,B27003
195,Male 55 to 64 With Public Health Insurance,healthcoverage_m55to64_wpublic,Population,Healthcare,B27003_022E,B27003
196,Male 55 to 64 Without Public Health Insurance,healthcoverage_m55to64_wopublic,Population,Healthcare,B27003_023E,B27003
197,Male 65 to 74 Public Healthcare Coverage,healthcoverage_m65to74_publicall,Population,Healthcare,B27003_024E,B27003
198,Male 65 to 74 With Public Health Insurance,healthcoverage_m65to74_wpublic,Population,Healthcare,B27003_025E,B27003
199,Male 65 to 74 Without Public Health Insurance,healthcoverage_m65to74_wopublic,Population,Healthcare,B27003_026E,B27003
200,Male 75 and Over Public Healthcare Coverage,healthcoverage_m75+_publicall,Population,Healthcare,B27003_027E,B27003
201,Male 75 and Over With Public Health Insurance,healthcoverage_m75+_wpublic,Population,Healthcare,B27003_028E,B27003
202,Male 75 and Over Without Public Health Insurance,healthcoverage_m75+_wopublic,Population,Healthcare,B27003_029E,B27003
203,Total Female Public Health Insurance Coverage,healthcoverage_total_fpublic,Population,Healthcare,B27003_030E,B27003
204,Female Under 6 Public Healthcare Coverage,healthcoverage_fu6_publicall,Population,Healthcare,B27003_031E,B27003
205,Female Under 6 With Public Health Insurance,healthcoverage_fu6_wpublic,Population,Healthcare,B27003_032E,B27003
206,Female Under 6 Without Public Health Insurance,healthcoverage_fu6_wopublic,Population,Healthcare,B27003_033E,B27003
207,Female 6 to 18  Public Healthcare Coverage,healthcoverage_f6to18_publicall,Population,Healthcare,B27003_034E,B27003
208,Female 6 to 18 With Public Health Insurance,healthcoverage_f6to18_wpublic,Population,Healthcare,B27003_035E,B27003
209,Female 6 to 18 Without Public Health Insurance,healthcoverage_f6to18_wopublic,Population,Healthcare,B27003_036E,B27003
210,Female 19 to 25 Public Healthcare Coverage,healthcoverage_f19to25_publicall,Population,Healthcare,B27003_037E,B27003
211,Female 19 to 25 With Public Health Insurance,healthcoverage_f19to25_wpublic,Population,Healthcare,B27003_038E,B27003
212,Female 19 to 25 Without Public Health Insurance,healthcoverage_f19to25_wopublic,Population,Healthcare,B27003_039E,B27003
213,Female 26 to 34 Public Healthcare Coverage,healthcoverage_f26to34_publicall,Population,Healthcare,B27003_040E,B27003
214,Female 26 to 34 With Public Health Insurance,healthcoverage_f26to34_wpublic,Population,Healthcare,B27003_041E,B27003
215,Female 26 to 34 Without Public Health Insurance,healthcoverage_f26to34_wopublic,Population,Healthcare,B27003_042E,B27003
216,Female 35 to 44 Public Healthcare Coverage,healthcoverage_f35to44_publicall,Population,Healthcare,B27003_043E,B27003
