ID,Data Point,Column Name,Category,Sub Category,ACS Variable,Databook,At A Glance Population,At A Glance Housing,At A Glance Economy
496,18 to 64 Years Speak Asian and Pacific Island Languages,language_18to64_asianandpacificisland,Population,Diversity,B16007_012E,1,0,0,0
497,18 to 64 Years Speak Other Languages,language_18to64_other,Population,Diversity,B16007_013E,1,0,0,0
498,Total 65+ Years,language_total_65+,Population,Diversity,B16007_014E,1,0,0,0
499,65+ Years Speak only English,language_65+_onlyenglish,Population,Diversity,B16007_015E,1,0,0,0
500,65+ Years Speak Spanish,language_65+_spanish,Population,Diversity,B16007_016E,1,0,0,0
501,65+ Years Speak other Indo-European Languages,language_65+_otherindoeuropean,Population,Diversity,B16007_017E,1,0,0,0
502,65+ Years Speak Asian and Pacific Island Languages,language_65+_asianandpacificisland,Population,Diversity,B16007_018E,1,0,0,0
503,65+ Years Speak Other Languages,language_65+_other,Population,Diversity,B16007_019E,1,0,0,0
504,Total Educational Attainment for the Population 25+ Series,attainment_total_over25_series,Population,Educational Attainment,B15003_001E,1,0,0,0
505,No Schooling Completed,attainment_noschooling,Population,Educational Attainment,B15003_002E,1,0,0,0
506,Nursery School,attainment_nurseryschool,Population,Educational Attainment,B15003_003E,1,0,0,0
507,Kindergarten,attainment_kindergarten,Population,Educational Attainment,B15003_004E,1,0,0,0
508,1st Grade,attainment_1stgrade,Population,Educational Attainment,B15003_005E,1,0,0,0
509,2nd Grade,attainment_2ndgrade,Population,Educational Attainment,B15003_006E,1,0,0,0
510,3rd Grade,attainment_3rdgrade,Population,Educational Attainment,B15003_007E,1,0,0,0
511,4th Grade,attainment_4thgrade,Population,Educational Attainment,B15003_008E,1,0,0,0
512,5th Grade,attainment_5thgrade,Population,Educational Attainment,B15003_009E,1,0,0,0
513,6th Grade,attainment_6thgrade,Population,Educational Attainment,B15003_010E,1,0,0,0
514,7th Grade,attainment_7thgrade,Population,Educational Attainment,B15003_011E,1,0,0,0
515,8th Grade,attainment_8thgrade,Population,Educational Attainment,B15003_012E,1,0,0,0
516,9th Grade,attainment_9thgrade,Population,Educational Attainment,B15003_013E,1,0,0,0
517,10th Grade,attainment_10thgrade,Population,Educational Attainment,B15003_014E,1,0,0,0
518,11th Grade,attainment_11thgrade,Population,Educational Attainment,B15003_015E,1,0,0,0
519,12th Grade No Diploma,attainment_12thgradenodiploma,Population,Educational Attainment,B15003_016E,1,0,0,0
520,Regular High School Diploma,attainment_regularhighschooldiploma,Population,Educational Attainment,B15003_017E,1,0,0,0
521,GED or Alternative Credential,attainment_gedoralternativecredential,Population,Educational Attainment,B15003_018E,1,0,0,0
522,"Some College, Less than 1 Year",attainment_somecollegelessthan1year,Population,Educational Attainment,B15003_019E,1,0,0,0
523,"Some College, 1 or More Years No Degree",attainment_somecollege1ormoreyearsnodegree,Population,Educational Attainment,B15003_020E,1,0,0,0
524,Associate's Degree,attainment_associatesdegree,Population,Educational Attainment,B15003_021E,1,0,0,0
525,Bachelor's Degree,attainment_bachelorsdegree,Population,Educational Attainment,B15003_022E,1,0,0,0
526,Master's Degree,attainment_mastersdegree,Population,Educational Attainment,B15003_023E,1,0,0,0
527,Professional School Degree,attainment_professionalschooldegree,Population,Educational Attainment,B15003_024E,1,0,0,0
528,Doctorate Degree,attainment_doctoratedegree,Population,Educational Attainment,B15003_025E,1,0,0,0
529,"Total, Means of Transportation to Work by Class of Worker Series",classworker_total_series,Employment,Class of Worker,B08128_001E,1,0,0,0
530,Private for Profit Wage and Salary Workers,classworker_privateforprofit,Employment,Class of Worker,B08128_002E,1,0,0,0
531,"Private for Profit Wage and Salary Workers, Employee of Private Company Workers",classworker_privateforprofit_employee,Employment,Class of Worker,B08128_003E,1,0,0,0
532,"Private for Profit Wage and Salary Workers, Self-Employed in own Incorporated Business ",classworker_privateforprofit_selfemployedincorporatedbusiness,Employment,Class of Worker,B08128_004E,1,0,0,0
533,Private not for Profit Wage and Salary Workers,classworker_privatenotforprofit,Employment,Class of Worker,B08128_005E,1,0,0,0
534,Local Government Workers,classworker_localgovt,Employment,Class of Worker,B08128_006E,1,0,0,0
535,State Government Workers,classworker_stategovt,Employment,Class of Worker,B08128_007E,1,0,0,0
536,Federal Government Workers,classworker_federalgovt,Employment,Class of Worker,B08128_008E,1,0,0,0
537,Self Employed in Own Non-Incorporated Business Workers,classworker_selfemployednonincorporatedbusiness,Employment,Class of Worker,B08128_009E,1,0,0,0
538,Unpaid Family Workers,classworker_unpaidfamilyworker,Employment,Class of Worker,B08128_010E,1,0,0,0
539,Total Sex by Age by Employment Status for the 16+ Population Series,lfstatus_total_sexbyagebyemploymentstatus16+_series,Employment,Labor Force Status,B23001_001E,1,0,0,0
540,Male 16 to 19 Civilian,lfstatus_mciv_16to19,Employment,Labor Force Status,B23001_006E,1,0,0,0
541,Male 16 to 19 Civilian Employed,lfstatus_mciv_16to19_employed,Employment,Labor Force Status,B23001_007E,1,0,0,0
542,Male 16 to 19 Civilian Unemployed,lfstatus_mciv_16to19_unemployed,Employment,Labor Force Status,B23001_008E,1,0,0,0
543,Male 20 and 21 Civilian,lfstatus_mciv_20to21,Employment,Labor Force Status,B23001_013E,1,0,0,0
544,Male 20 and 21 Civilian Employed,lfstatus_mciv_20to21_employed,Employment,Labor Force Status,B23001_014E,1,0,0,0
545,Male 20 and 21 Civilian Unemployed,lfstatus_mciv_20to21_unemployed,Employment,Labor Force Status,B23001_015E,1,0,0,0
546,Male 22 to 24 Civilian,lfstatus_mciv_22to24,Employment,Labor Force Status,B23001_020E,1,0,0,0
547,Male 22 to 24 Civilian Employed,lfstatus_mciv_20to21_employed,Employment,Labor Force Status,B23001_021E,1,0,0,0
548,Male 22 to 24 Civilian Unemployed,lfstatus_mciv_20to21_unemployed,Employment,Labor Force Status,B23001_022E,1,0,0,0
549,Male 25 to 29 Civilian,lfstatus_mciv_25to29,Employment,Labor Force Status,B23001_027E,1,0,0,0
550,Male 25 to 29 Civilian Employed,lfstatus_mciv_25to29_employed,Employment,Labor Force Status,B23001_028E,1,0,0,0
551,Male 25 to 29 Civilian Unemployed,lfstatus_mciv_25to29_unemployed,Employment,Labor Force Status,B23001_029E,1,0,0,0
552,Male 30 to 34 Civilian,lfstatus_mciv_30to34,Employment,Labor Force Status,B23001_034E,1,0,0,0
553,Male 30 to 34 Civilian Employed,lfstatus_mciv_30to34_employed,Employment,Labor Force Status,B23001_035E,1,0,0,0
554,Male 30 to 34 Civilian Unemployed,lfstatus_mciv_30to34_unemployed,Employment,Labor Force Status,B23001_036E,1,0,0,0
555,Male 35 to 44 Civilian,lfstatus_mciv_35to44,Employment,Labor Force Status,B23001_041E,1,0,0,0
556,Male 35 to 44 Civilian Employed,lfstatus_mciv_35to44_employed,Employment,Labor Force Status,B23001_042E,1,0,0,0
557,Male 35 to 44 Civilian Unemployed,lfstatus_mciv_35to44_unemployed,Employment,Labor Force Status,B23001_043E,1,0,0,0
558,Male 45 to 54 Civilian,lfstatus_mciv_45to54,Employment,Labor Force Status,B23001_048E,1,0,0,0
559,Male 45 to 54 Civilian Employed,lfstatus_mciv_45to54_employed,Employment,Labor Force Status,B23001_049E,1,0,0,0
560,Male 45 to 54 Civilian Unemployed,lfstatus_mciv_45to54_unemployed,Employment,Labor Force Status,B23001_050E,1,0,0,0
561,Male 55 to 59 Civilian,lfstatus_mciv_55to59,Employment,Labor Force Status,B23001_055E,1,0,0,0
562,Male 55 to 59 Civilian Employed,lfstatus_mciv_55to59_employed,Employment,Labor Force Status,B23001_056E,1,0,0,0
563,Male 55 to 59 Civilian Unemployed,lfstatus_mciv_55to59_unemployed,Employment,Labor Force Status,B23001_057E,1,0,0,0
564,Male 60 and 61 Civilian,lfstatus_mciv_60to61,Employment,Labor Force Status,B23001_062E,1,0,0,0
565,Male 60 and 61 Civilian Employed,lfstatus_mciv_60to61_employed,Employment,Labor Force Status,B23001_063E,1,0,0,0
566,Male 60 and 61 Civilian Unemployed,lfstatus_mciv_60to61_unemployed,Employment,Labor Force Status,B23001_064E,1,0,0,0
567,Male 62 to 64 Civilian,lfstatus_mciv_62to64,Employment,Labor Force Status,B23001_069E,1,0,0,0
568,Male 62 to 64 Civilian Employed,lfstatus_mciv_62to64_employed,Employment,Labor Force Status,B23001_070E,1,0,0,0
569,Male 62 to 64 Civilian Unemployed,lfstatus_mciv_62to64_unemployed,Employment,Labor Force Status,B23001_071E,1,0,0,0
570,Male 65 to 69 Civilian,lfstatus_mciv_65to69,Employment,Labor Force Status,B23001_074E,1,0,0,0
571,Male 65 to 69 Civilian Employed,lfstatus_mciv_65to69_employed,Employment,Labor Force Status,B23001_075E,1,0,0,0
572,Male 65 to 69 Civilian Unemployed,lfstatus_mciv_65to69_unemployed,Employment,Labor Force Status,B23001_076E,1,0,0,0
573,Male 70 to 74 Civilian,lfstatus_mciv_70to74,Employment,Labor Force Status,B23001_079E,1,0,0,0
574,Male 70 to 74 Civilian Employed,lfstatus_mciv_70to74_employed,Employment,Labor Force Status,B23001_080E,1,0,0,0
575,Male 70 to 74 Civilian Unemployed,lfstatus_mciv_70to74_unemployed,Employment,Labor Force Status,B23001_081E,1,0,0,0
576,Male 75+ Civilian,lfstatus_mciv_75+,Employment,Labor Force Status,B23001_084E,1,0,0,0
577,Male 75+ Civilian Employed,lfstatus_mciv_75+,Employment,Labor Force Status,B23001_085E,1,0,0,0
578,Male 75+ Civilian Unemployed,lfstatus_mciv_75+,Employment,Labor Force Status,B23001_086E,1,0,0,0
579,Female 16 to 19 Civilian,lfstatus_fciv_16to19,Employment,Labor Force Status,B23001_092E,1,0,0,0
580,Female 16 to 19 Civilian Employed,lfstatus_fciv_16to19_employed,Employment,Labor Force Status,B23001_093E,1,0,0,0
581,Female 16 to 19 Civilian Unemployed,lfstatus_fciv_16to19_unemployed,Employment,Labor Force Status,B23001_094E,1,0,0,0
582,Female 20 and 21 Civilian,lfstatus_fciv_20to21,Employment,Labor Force Status,B23001_099E,1,0,0,0
583,Female 20 and 21 Civilian Employed,lfstatus_fciv_20to21_employed,Employment,Labor Force Status,B23001_100E,1,0,0,0
584,Female 20 and 21 Civilian Unemployed,lfstatus_fciv_20to21_unemployed,Employment,Labor Force Status,B23001_101E,1,0,0,0
585,Female 22 to 24 Civilian,lfstatus_fciv_22to24,Employment,Labor Force Status,B23001_106E,1,0,0,0
586,Female 22 to 24 Civilian Employed,lfstatus_fciv_20to21_employed,Employment,Labor Force Status,B23001_107E,1,0,0,0
587,Female 22 to 24 Civilian Unemployed,lfstatus_fciv_20to21_unemployed,Employment,Labor Force Status,B23001_108E,1,0,0,0
588,Female 25 to 29 Civilian,lfstatus_fciv_25to29,Employment,Labor Force Status,B23001_113E,1,0,0,0
589,Female 25 to 29 Civilian Employed,lfstatus_fciv_25to29_employed,Employment,Labor Force Status,B23001_114E,1,0,0,0
590,Female 25 to 29 Civilian Unemployed,lfstatus_fciv_25to29_unemployed,Employment,Labor Force Status,B23001_115E,1,0,0,0
591,Female 30 to 34 Civilian,lfstatus_fciv_30to34,Employment,Labor Force Status,B23001_120E,1,0,0,0
592,Female 30 to 34 Civilian Employed,lfstatus_fciv_30to34_employed,Employment,Labor Force Status,B23001_121E,1,0,0,0
593,Female 30 to 34 Civilian Unemployed,lfstatus_fciv_30to34_unemployed,Employment,Labor Force Status,B23001_122E,1,0,0,0
594,Female 35 to 44 Civilian,lfstatus_fciv_35to44,Employment,Labor Force Status,B23001_127E,1,0,0,0
595,Female 35 to 44 Civilian Employed,lfstatus_fciv_35to44_employed,Employment,Labor Force Status,B23001_128E,1,0,0,0
596,Female 35 to 44 Civilian Unemployed,lfstatus_fciv_35to44_unemployed,Employment,Labor Force Status,B23001_129E,1,0,0,0
597,Female 45 to 54 Civilian,lfstatus_fciv_45to54,Employment,Labor Force Status,B23001_134E,1,0,0,0
598,Female 45 to 54 Civilian Employed,lfstatus_fciv_45to54_employed,Employment,Labor Force Status,B23001_135E,1,0,0,0
599,Female 45 to 54 Civilian Unemployed,lfstatus_fciv_45to54_unemployed,Employment,Labor Force Status,B23001_136E,1,0,0,0
600,Female 55 to 59 Civilian,lfstatus_fciv_55to59,Employment,Labor Force Status,B23001_141E,1,0,0,0
601,Female 55 to 59 Civilian Employed,lfstatus_fciv_55to59_employed,Employment,Labor Force Status,B23001_142E,1,0,0,0
602,Female 55 to 59 Civilian Unemployed,lfstatus_fciv_55to59_unemployed,Employment,Labor Force Status,B23001_143E,1,0,0,0
603,Female 60 and 61 Civilian,lfstatus_fciv_60to61,Employment,Labor Force Status,B23001_148E,1,0,0,0
604,Female 60 and 61 Civilian Employed,lfstatus_fciv_60to61_employed,Employment,Labor Force Status,B23001_149E,1,0,0,0
605,Female 60 and 61 Civilian Unemployed,lfstatus_fciv_60to61_unemployed,Employment,Labor Force Status,B23001_150E,1,0,0,0
606,Female 62 to 64 Civilian,lfstatus_fciv_62to64,Employment,Labor Force Status,B23001_155E,1,0,0,0
607,Female 62 to 64 Civilian Employed,lfstatus_fciv_62to64_employed,Employment,Labor Force Status,B23001_156E,1,0,0,0
608,Female 62 to 64 Civilian Unemployed,lfstatus_fciv_62to64_unemployed,Employment,Labor Force Status,B23001_157E,1,0,0,0
609,Female 65 to 69 Civilian,lfstatus_fciv_65to69,Employment,Labor Force Status,B23001_160E,1,0,0,0
610,Female 65 to 69 Civilian Employed,lfstatus_fciv_65to69_employed,Employment,Labor Force Status,B23001_161E,1,0,0,0
611,Female 65 to 69 Civilian Unemployed,lfstatus_fciv_65to69_unemployed,Employment,Labor Force Status,B23001_162E,1,0,0,0
612,Female 70 to 74 Civilian,lfstatus_fciv_70to74,Employment,Labor Force Status,B23001_165E,1,0,0,0
613,Female 70 to 74 Civilian Employed,lfstatus_fciv_70to74_employed,Employment,Labor Force Status,B23001_166E,1,0,0,0
614,Female 70 to 74 Civilian Unemployed,lfstatus_fciv_70to74_unemployed,Employment,Labor Force Status,B23001_167E,1,0,0,0
615,Female 75+ Civilian,lfstatus_fciv_75+,Employment,Labor Force Status,B23001_170E,1,0,0,0
616,Female 75+ Civilian Employed,lfstatus_fciv_75+,Employment,Labor Force Status,B23001_171E,1,0,0,0
617,Female 75+ Civilian Unemployed,lfstatus_fciv_75+,Employment,Labor Force Status,B23001_172E,1,0,0,0
618,Per Capita Personal Income in the Past 12 Months in 2019 Dollars,percapita_income_2019dollars,Employment,Income,B19301_001E,1,0,0,0
619,Total Geographic Mobility in the Past Year by Age Series,geo_total_series,Geographic Mobility,Moved,B07001_001E,1,0,0,0
620,Geographic Mobility Past Year Age 1 to 4 Total,geo_1to4_total,Geographic Mobility,Moved,B07001_002E,1,0,0,0
621,Geographic Mobility Past Year Age 5 to 17 Total,geo_5to17_total,Geographic Mobility,Moved,B07001_003E,1,0,0,0
622,Geographic Mobility Past Year Age 18 to 19 Total,geo_18to19_total,Geographic Mobility,Moved,B07001_004E,1,0,0,0
623,Geographic Mobility Past Year Age 20 to 24 Total,geo_20to24_total,Geographic Mobility,Moved,B07001_005E,1,0,0,0
624,Geographic Mobility Past Year Age 25 to 29 Total,geo_25to29_total,Geographic Mobility,Moved,B07001_006E,1,0,0,0
625,Geographic Mobility Past Year Age 30 to 34 Total,geo_30to34_total,Geographic Mobility,Moved,B07001_007E,1,0,0,0
626,Geographic Mobility Past Year Age 35 to 39 Total,geo_35to39_total,Geographic Mobility,Moved,B07001_008E,1,0,0,0
627,Geographic Mobility Past Year Age 40 to 44 Total,geo_40to44_total,Geographic Mobility,Moved,B07001_009E,1,0,0,0
628,Geographic Mobility Past Year Age 45 to 49 Total,geo_45to49_total,Geographic Mobility,Moved,B07001_010E,1,0,0,0
629,Geographic Mobility Past Year Age 50 to 54 Total,geo_50to54_total,Geographic Mobility,Moved,B07001_011E,1,0,0,0
630,Geographic Mobility Past Year Age 55 to 59 Total,geo_55to59_total,Geographic Mobility,Moved,B07001_012E,1,0,0,0
631,Geographic Mobility Past Year Age 60 to 64 Total,geo_60to64_total,Geographic Mobility,Moved,B07001_013E,1,0,0,0
632,Geographic Mobility Past Year Age 65 to 69 Total,geo_65to69_total,Geographic Mobility,Moved,B07001_014E,1,0,0,0
633,Geographic Mobility Past Year Age 70 to74 Total,geo_70to74_total,Geographic Mobility,Moved,B07001_015E,1,0,0,0
634,Geographic Mobility Past Year Age 75+ Total,geo_75+_total,Geographic Mobility,Moved,B07001_016E,1,0,0,0
635,Geographic Mobility Total Same House One Year Ago,geo_samehouse_total,Geographic Mobility,Moved,B07001_017E,1,0,0,0
636,Geo Mobility 55 to 59 Same House One Year Ago,geo_55to59_samehouse,Geographic Mobility,Moved,B07001_028E,1,0,0,0
637,Geo Mobility 60 to 64 Same House One Year Ago,geo_60to64_samehouse,Geographic Mobility,Moved,B07001_029E,1,0,0,0
638,Geo Mobility 65 to 69 Same House One Year Ago,geo_65to69_samehouse,Geographic Mobility,Moved,B07001_030E,1,0,0,0
639,Geo Mobility 70 to 74 Same House One Year Ago,geo_70to74_samehouse,Geographic Mobility,Moved,B07001_031E,1,0,0,0
640,Geo Mobility 75+ Same House One Year Ago,geo_75+_samehouse,Geographic Mobility,Moved,B07001_032E,1,0,0,0
641,Geographic Mobility Total Moved Within Same County,geo_movedsamecounty_total,Geographic Mobility,Moved,B07001_033E,1,0,0,0
642,Geo Mobility 55 to 59 Moved Within Same County,geo_55to59_movedsamecounty,Geographic Mobility,Moved,B07001_044E,1,0,0,0
643,Geo Mobility 60 to 64 Moved Within Same County,geo_60to64_movedsamecounty,Geographic Mobility,Moved,B07001_045E,1,0,0,0
644,Geo Mobility 65 to 69 Moved Within Same County,geo_65to69_movedsamecounty,Geographic Mobility,Moved,B07001_046E,1,0,0,0
645,Geo Mobility 70 to 74 Moved Within Same County,geo_70to74_movedsamecounty,Geographic Mobility,Moved,B07001_047E,1,0,0,0
646,Geo Mobility 75+ Moved Within Same County,geo_75+_movedsamecounty,Geographic Mobility,Moved,B07001_048E,1,0,0,0
647,Geographic Mobility Moved from Different County Within Same State,geo_moveddifferentcountysamestate_total,Geographic Mobility,Moved,B07001_049E,1,0,0,0
648,Geo Mobility 55 to 59 Moved from Different County in Same State,geo_55to59_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_060E,1,0,0,0
649,Geo Mobility 60 to 64 Moved from Different County in Same State,geo_60to64_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_061E,1,0,0,0
650,Geo Mobility 65 to 69 Moved from Different County in Same State,geo_65to69_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_062E,1,0,0,0
651,Geo Mobility 70 to 74 Moved from Different County in Same State,geo_70to74_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_063E,1,0,0,0
652,Geo Mobility 75+ Moved from Different County in Same State,geo_75+_moveddifferentcountysamestate,Geographic Mobility,Moved,B07001_064E,1,0,0,0
653,Geographic Mobility Moved From Different State,geo_moveddifferentstate_total,Geographic Mobility,Moved,B07001_065E,1,0,0,0
654,Geo Mobility 55 to 59 Moved from Different State,geo_55to59_moveddifferentstate,Geographic Mobility,Moved,B07001_076E,1,0,0,0
655,Geo Mobility 60 to 64 Moved from Different State,geo_60to64_moveddifferentstate,Geographic Mobility,Moved,B07001_077E,1,0,0,0
656,Geo Mobility 65 to 69 Moved from Different State,geo_65to69_moveddifferentstate,Geographic Mobility,Moved,B07001_078E,1,0,0,0
657,Geo Mobility 70 to 74 Moved from Different State,geo_70to74_moveddifferentstate,Geographic Mobility,Moved,B07001_079E,1,0,0,0
658,Geo Mobility 75+ Moved from Different State,geo_75+_moveddifferentstate,Geographic Mobility,Moved,B07001_080E,1,0,0,0
659,Geographic Mobility Moved from Abroad,geo_movedabroad_total,Geographic Mobility,Moved,B07001_081E,1,0,0,0
660,Geo Mobility 55 to 59 Moved from Abroad,geo_55to59_movedabroad,Geographic Mobility,Moved,B07001_092E,1,0,0,0
661,Geo Mobility 60 to 64 Moved from Abroad,geo_60to64_movedabroad,Geographic Mobility,Moved,B07001_093E,1,0,0,0
662,Geo Mobility 65 to 69 Moved from Abroad,geo_65to69_movedabroad,Geographic Mobility,Moved,B07001_094E,1,0,0,0
663,Geo Mobility 70 to 74 Moved from Abroad,geo_70to74_movedabroad,Geographic Mobility,Moved,B07001_095E,1,0,0,0
664,Geo Mobility 75+ Moved from Abroad,geo_75+_movedabroad,Geographic Mobility,Moved,B07001_096E,1,0,0,0
665,Vehicles per Household by Tenure Total Series,vehicles_tenurebyvehicles_total_series,Transportation,Vehicles,B25044_001E,1,0,0,0
666,Vehicles per Household Total Owner Occupied,vehicles_ownerocc_total,Transportation,Vehicles,B25044_002E,1,0,0,0
667,Vehicles per Household Owner Occupied No Vehicles,vehicles_ownerocc_novehicle,Transportation,Vehicles,B25044_003E,1,0,0,0
668,Vehicles per Household Owner Occupied 1 Vehicle,vehicles_ownerocc_1vehicle,Transportation,Vehicles,B25044_004E,1,0,0,0
669,Vehicles per Household Owner Occupied 2 Vehicles,vehicles_ownerocc_2vehicles,Transportation,Vehicles,B25044_005E,1,0,0,0
670,Vehicles per Household Owner Occupied 3 Vehicles,vehicles_ownerocc_3vehicles,Transportation,Vehicles,B25044_006E,1,0,0,0
671,Vehicles per Household Owner Occupied 4 Vehicles,vehicles_ownerocc_4vehicles,Transportation,Vehicles,B25044_007E,1,0,0,0
672,Vehicles per Household Owner Occupied 5 Vehicles,vehicles_ownerocc_5+vehicles,Transportation,Vehicles,B25044_008E,1,0,0,0
673,Vehicles per Household Total Renter Occupied,vehicles_renterocc_total,Transportation,Vehicles,B25044_009E,1,0,0,0
674,Vehicles per Household Renter Occupied No Vehicles,vehicles_renterocc_novehicle,Transportation,Vehicles,B25044_010E,1,0,0,0
675,Vehicles per Household Renter Occupied 1 Vehicle,vehicles_renterocc_1vehicle,Transportation,Vehicles,B25044_011E,1,0,0,0
676,Vehicles per Household Renter Occupied 2 Vehicles,vehicles_renterocc_2vehicles,Transportation,Vehicles,B25044_012E,1,0,0,0
677,Vehicles per Household Renter Occupied 3 Vehicles,vehicles_renterocc_3vehicles,Transportation,Vehicles,B25044_013E,1,0,0,0
678,Vehicles per Household Renter Occupied 4 Vehicles,vehicles_renterocc_4vehicles,Transportation,Vehicles,B25044_014E,1,0,0,0
679,Vehicles per Household Renter Occupied 5 Vehicles,vehicles_renterocc_5+vehicles,Transportation,Vehicles,B25044_015E,1,0,0,0
680,Industry Employment Sex by Industry Civilian Population Total Series,industry_sexbyindustrycivilianpop_total_series,Employment,Industry Employment,C24030_001E,1,0,0,1
681,Industry Employment Total Male,industry_sexbyindustrycivilianpop_totalmale,Employment,Industry Employment,C24030_002E,1,0,0,1
682,"Industry Employment Male Agriculture, Forestry, Fishing and Hunting, Mining",industry_m_agriculture_forestry_fishing_hunting_mining,Employment,Industry Employment,C24030_003E,1,0,0,1
683,"Industry Employment Male Agriculture, Forestry, Fishing and Hunting, Mining: Agriculture, Forestry, Fishing and Hunting",industry_m_agmining_agriculture_forestry_fishing_hunting,Employment,Industry Employment,C24030_004E,1,0,0,1
684,"Industry Employment Male Agriculture, Forestry, Fishing and Hunting, Mining: Mining, Quarrying, Gas and Oil Extraction",industry_m_agmining_mining_quarrying_oilandgas,Employment,Industry Employment,C24030_005E,1,0,0,1
685,Industry Employment Male Construction,industry_m_construction,Employment,Industry Employment,C24030_006E,1,0,0,1
686,Industry Employment Male Manufacturing,industry_m_manufacturing,Employment,Industry Employment,C24030_007E,1,0,0,1
687,Industry Employment Male Wholesale Trade,industry_m_wholesaletrade,Employment,Industry Employment,C24030_008E,1,0,0,1
688,Industry Employment Male Retail Trade,industry_m_retailtrade,Employment,Industry Employment,C24030_009E,1,0,0,1
689,"Industry Employment Male Transportation, Warehousing, and Utilities",industry_m_transportation_warehousing_utilities,Employment,Industry Employment,C24030_010E,1,0,0,1
690,"Industry Employment Male Transportation, Warehousing, and Utilities: Transportation and Warehousing",industry_m_transut_transportation_warehousing,Employment,Industry Employment,C24030_011E,1,0,0,1
691,"Industry Employment Male Transportation, Warehousing, and Utilities: Utilities",industry_m_transut_utilities,Employment,Industry Employment,C24030_012E,1,0,0,1
692,Industry Employment Male Information,industry_m_information,Employment,Industry Employment,C24030_013E,1,0,0,1
693,"Industry Employment Male Finance, Insurance, Real Estate, Rental and Leasing",industry_m_finance_insurance_realestate_rental,Employment,Industry Employment,C24030_014E,1,0,0,1
694,"Industry Employment Male Finance, Insurance, Real Estate, Rental and Leasing: Finance and Insurance",industry_m_finrent_finance_insurance,Employment,Industry Employment,C24030_015E,1,0,0,1
695,"Industry Employment Male Finance, Insurance, Real Estate, Rental and Leasing: Real Estate, Rental and Leasing",industry_m_finrent_realestate_rental,Employment,Industry Employment,C24030_016E,1,0,0,1
696,"Industry Employment Male Professional, Scientific, Management, Administrative, Waste Management",industry_m_professional_scientific_managementadmin_waste,Employment,Industry Employment,C24030_017E,1,0,0,1
697,"Industry Employment Male Professional, Scientific, Management, Administrative, Waste Management: Professional, Scientific, and Technical Services",industry_m_profwaste_professional_scientific_technicalservices,Employment,Industry Employment,C24030_018E,1,0,0,1
698,"Industry Employment Male Professional, Scientific, Management, Administrative, Waste Management: Management of Companies and Enterprises",industry_m_profwaste_managementcompaniesenterprises,Employment,Industry Employment,C24030_019E,1,0,0,1
699,"Industry Employment Male Professional, Scientific, Management, Administrative, Waste Management: Administrative Support and Waste Management",industry_m_adminandsupportandwaste,Employment,Industry Employment,C24030_020E,1,0,0,1
700,"Industry Employment Male Educational, Healthcare, and Social Assistance",industry_m_educational_healthcare_socialassistance,Employment,Industry Employment,C24030_021E,1,0,0,1
701,"Industry Employment Male Educational, Healthcare, and Social Assistance: Educational",industry_m_edsocial_educational,Employment,Industry Employment,C24030_022E,1,0,0,1
702,"Industry Employment Male Educational, Healthcare, and Social Assistance: Healthcare and Social Assistance",industry_m_edsocial_healthcare_socialassistance,Employment,Industry Employment,C24030_023E,1,0,0,1
703,"Industry Employment Male Entertainment and Recreation, Accommodation and Food",industry_m_arts_entertainmentrec_accommodation_food,Employment,Industry Employment,C24030_024E,1,0,0,1
704,"Industry Employment Male Entertainment and Recreation, Accommodation and Food: Entertainment and Recreation",industry_m_artsaccom_arts_entertainmentrec,Employment,Industry Employment,C24030_025E,1,0,0,1
705,"Industry Employment Male Entertainment and Recreation, Accommodation and Food: Accommodation and Food",industry_m_artsaccom_accommodation_food,Employment,Industry Employment,C24030_026E,1,0,0,1
706,Industry Employment Male Other Services Not Public Administration,industry_m_otherservices_notpublicadmin,Employment,Industry Employment,C24030_027E,1,0,0,1
707,Industry Employment Male Public Administration,industry_m_publicadmin,Employment,Industry Employment,C24030_028E,1,0,0,1
708,Industry Employment Total Female,industry_sexbyindustrycivilianpop_totalfemale,Employment,Industry Employment,C24030_029E,1,0,0,1
709,"Industry Employment Female Agriculture, Forestry, Fishing and Hunting, Mining",industry_f_agriculture_forestry_fishing_hunting_fining,Employment,Industry Employment,C24030_030E,1,0,0,1
710,"Industry Employment Female Agriculture, Forestry, Fishing and Hunting, Mining: Agriculture, Forestry, Fishing and Hunting",industry_f_agmining_agriculture_forestry_fishing_hunting,Employment,Industry Employment,C24030_031E,1,0,0,1
711,"Industry Employment Female Agriculture, Forestry, Fishing and Hunting, Mining: Mining, Quarrying, Gas and Oil Extraction",industry_f_agmining_fining_quarrying_oilandgas,Employment,Industry Employment,C24030_032E,1,0,0,1
712,Industry Employment Female Construction,industry_f_construction,Employment,Industry Employment,C24030_033E,1,0,0,1
713,Industry Employment Female Manufacturing,industry_f_fanufacturing,Employment,Industry Employment,C24030_034E,1,0,0,1
714,Industry Employment Female Wholesale Trade,industry_f_wholesaletrade,Employment,Industry Employment,C24030_035E,1,0,0,1
715,Industry Employment Female Retail Trade,industry_f_retailtrade,Employment,Industry Employment,C24030_036E,1,0,0,1
